Time;Acceleration x-axis;Acceleration y-axis;Acceleration z-axis;Gravitation x-axis;Gravitation y-axis;Gravitation z-axis;Linear acceleration x-axis;Linear acceleration y-axis;Linear acceleration z-axis;Gyroscope x-axis;Gyroscope y-axis;Gyroscope z-axis;Orientation x-axis (in degrees);Orientation y-axis (in degrees);Orientation z-axis (in degrees)
41551;0.1269;0.0407;9.8692;0.1242;0.035;9.8058;-0.0016;0.0156;0.0562;-0.0001;-0.0001;-0.0008;191.27;-0.2;-0.72
42050;0.1269;0.0455;9.8429;0.1222;0.0369;9.8058;0.0048;0.0036;0.0275;-0.0007;-0.0007;-0.0002;190.81;-0.22;-0.72
42551;0.1149;0.0407;9.85;0.1202;0.0375;9.8058;0.0064;0.0082;0.061;0.0011;0.0001;0.0005;190.79;-0.21;-0.71
43050;0.1149;0.0311;9.8357;0.1259;0.0396;9.8058;0.0035;0.0057;0.0299;0.0023;-0.0012;-0.0002;190.83;-0.23;-0.73
43550;0.1293;0.0287;9.8596;0.1246;0.038;9.8058;-0.0024;0.0032;0.049;0.0011;-0.0012;-0.0002;190.83;-0.22;-0.73
44050;0.1341;0.0287;9.8309;0.1217;0.0381;9.8058;-0.0015;0.0043;0.0323;0.0005;-0.0006;-0.0002;190.77;-0.22;-0.71
44550;0.1269;0.0455;9.862;0.123;0.0398;9.8058;0.0034;0.0051;0.0562;-0.0001;0.0001;0.0005;190.79;-0.23;-0.72
45050;0.1341;0.0407;9.8429;0.1241;0.0406;9.8058;0.0111;0.0002;0.0371;0.0017;-0.0018;-0.0014;188.84;-0.23;-0.71
45551;0.1149;0.0503;9.8548;0.1275;0.0397;9.8057;0.0212;-0.0079;0.0587;0.0023;-0.0018;0.0005;190.86;-0.23;-0.74
46051;0.1293;0.0359;9.8429;0.1237;0.0414;9.8058;0.0043;-0.0048;0.0371;0.0017;-0.0012;-0.0002;191.29;-0.24;-0.72
46550;0.1245;0.0383;9.862;0.1256;0.0387;9.8058;0.0032;0.0061;0.0491;0.0011;-0.0011;-0.0007;188.87;-0.23;-0.73
47050;0.1149;0.0455;9.8285;0.1247;0.0409;9.8058;-0.0104;0.0112;0.0275;-0.0001;0.0001;-0.0007;191.26;-0.23;-0.73
47550;0.1197;0.0551;9.862;0.1267;0.0388;9.8058;-0.0062;0.0173;0.0562;0.0011;-0.0017;-0.0007;190.81;-0.22;-0.73
48050;0.1437;0.0527;9.8596;0.1251;0.0411;9.8058;-0.0161;-0.0101;0.0443;0.0011;-0.0005;0.0005;190.84;-0.24;-0.73
48551;0.1221;0.0407;9.8596;0.1234;0.0378;9.8058;0.007;-0.0081;0.049;0.0011;-0.0011;0.0005;188.44;-0.24;-0.71
49050;0.1245;0.0503;9.8381;0.1259;0.0408;9.8058;-0.0103;-0.012;0.0371;0.0017;-0.0011;-0.0001;190.81;-0.23;-0.73
49551;0.1101;0.0407;9.8644;0.1256;0.0424;9.8058;0.001;-0.0105;0.0563;0.0005;-0.0005;-0.0001;188.51;-0.24;-0.73
50050;0.1101;0.0455;9.8285;0.1227;0.0413;9.8058;0.0094;0.0024;0.0395;0.0005;-0.0005;0.0005;190.81;-0.24;-0.71
50551;0.1221;0.0431;9.8572;0.1235;0.0411;9.8058;-0.0112;0.0113;0.0634;0.0002;0.0005;0.0005;190.82;-0.24;-0.72
51050;0.1221;0.0383;9.8453;0.1247;0.0412;9.8058;-0.0084;-0.0089;0.0299;0.0002;-0.0001;-0.0001;190.84;-0.24;-0.73
51550;0.1245;0.0455;9.8692;0.122;0.0412;9.8058;-0.0117;0.0089;0.0682;0.0015;0.0011;-0.0001;188.83;-0.25;-0.71
52050;0.1173;0.0407;9.8405;0.123;0.0392;9.8058;0.004;-0.0176;0.0299;0.0008;-0.0001;0.0005;190.78;-0.23;-0.72
52550;0.1149;0.0431;9.8812;0.1227;0.0404;9.8058;0.0053;-0.0129;0.0682;0.0002;-0.0013;0.0005;191.29;-0.24;-0.72
53050;0.1293;0.0527;9.8644;0.1249;0.0438;9.8058;-0.0027;0.0169;0.0658;0.0021;-0.0007;-0.0001;190.82;-0.22;-0.72
53550;0.1221;0.0359;9.8692;0.1226;0.0411;9.8058;0.004;-0.0008;0.0466;-0.0004;-0.0013;-0.0013;188.48;-0.24;-0.72
54050;0.1197;0.0575;9.862;0.1223;0.0413;9.8058;0.0116;-0.0085;0.0682;0.0002;-0.0001;-0.0001;188.46;-0.25;-0.72
54551;0.1101;0.0383;9.862;0.1225;0.0406;9.8058;-0.0047;-0.0068;0.0562;0.0002;0.0005;-0.0001;191.23;-0.24;-0.71
55050;0.1341;0.0455;9.862;0.1232;0.0399;9.8058;-0.0012;-0.004;0.0586;-0.0006;0.0013;-0.0001;188.48;-0.23;-0.72
55550;0.1245;0.0239;9.8764;0.1233;0.0384;9.8058;-0.0223;0.0038;0.0778;0.0013;-0.0011;0.0005;190.79;-0.22;-0.72
56050;0.1269;0.0599;9.8668;0.1212;0.0396;9.8058;0.0064;0.0194;0.061;-0.0012;-0.0011;0.0017;191.26;-0.23;-0.71
56551;0.1245;0.0407;9.874;0.1181;0.039;9.8059;-0.0047;-0.0095;0.0681;0.0001;-0.0005;0.0005;190.76;-0.23;-0.69
57050;0.1365;0.0479;9.8644;0.1194;0.0375;9.8059;0.0042;-0.004;0.0466;-0.0006;-0.0005;-0.0007;190.77;-0.22;-0.7
57550;0.1077;0.0407;9.85;0.1218;0.0403;9.8058;-0.0121;0.0032;0.0634;-0.0006;0.0001;0.0005;190.81;-0.24;-0.71
58050;0.1101;0.0407;9.862;0.1223;0.0417;9.8058;-0.0047;-0.0084;0.0466;0.0001;0.0007;0.0005;190.81;-0.24;-0.71
58550;0.1101;0.0359;9.8477;0.1211;0.0404;9.8058;-0.0076;0.0143;0.073;-0.0006;0.0013;0.0011;191.27;-0.24;-0.71
59051;0.1125;0.0503;9.8716;0.1171;0.038;9.8059;0.0067;0.0024;0.0705;-0.0018;0.0001;-0.0001;191.26;-0.24;-0.71
59550;0.1269;0.0407;9.862;0.1214;0.0404;9.8058;-0.0038;-0.0019;0.0682;0.0013;0.0001;0.0005;191.26;-0.24;-0.71
60050;0.1077;0.0431;9.8644;0.1194;0.0396;9.8058;0.004;0.0036;0.0586;0;0.0007;-0.0001;190.78;-0.23;-0.7
